Filename,Predictions
1.png,4.2
10.png,4.2
100.png,0.65
101.png,4.2
102.png,4.2
103.png,0.65
104.png,4.2
105.png,4.2
106.png,4.2
107.png,4.2
108.png,4.2
109.png,4.2
11.png,4.2
110.png,4.2
111.png,4.2
112.png,4.2
113.png,4.2
114.png,4.2
115.png,4.2
116.png,4.2
117.png,4.2
118.png,4.2
119.png,4.2
12.png,4.2
120.png,4.2
121.png,4.2
122.png,4.2
123.png,4.2
124.png,0.65
125.png,4.2
126.png,4.2
127.png,4.2
128.png,4.2
129.png,4.2
13.png,4.2
130.png,4.2
131.png,4.2
132.png,4.2
133.png,4.2
134.png,4.2
135.png,4.2
136.png,4.2
137.png,4.2
138.png,4.2
139.png,4.2
14.png,0.65
140.png,4.2
141.png,4.2
142.png,4.2
143.png,4.2
144.png,4.2
145.png,4.2
146.png,4.2
147.png,4.2
148.png,4.2
149.png,4.2
15.png,4.2
150.png,4.2
151.png,4.2
152.png,4.2
153.png,4.2
154.png,4.2
155.png,4.2
156.png,4.2
157.png,4.2
158.png,4.2
159.png,4.2
16.png,4.2
160.png,4.2
161.png,4.2
162.png,4.2
163.png,4.2
164.png,4.2
165.png,4.2
166.png,4.2
167.png,4.2
168.png,4.2
169.png,4.2
17.png,4.2
170.png,4.2
171.png,4.2
172.png,4.2
173.png,4.2
174.png,4.2
175.png,4.2
176.png,4.2
177.png,4.2
178.png,4.2
179.png,4.2
18.png,4.2
180.png,4.2
181.png,4.2
182.png,4.2
183.png,4.2
184.png,4.2
185.png,4.2
186.png,4.2
187.png,4.2
188.png,0.65
189.png,4.2
19.png,4.2
190.png,4.2
191.png,4.2
192.png,4.2
193.png,4.2
194.png,4.2
195.png,4.2
196.png,4.2
197.png,4.2
198.png,0.65
199.png,4.2
2.png,4.2
20.png,4.2
200.png,4.2
201.png,4.2
202.png,4.2
203.png,4.2
204.png,4.2
205.png,4.2
206.png,4.2
207.png,4.2
208.png,4.2
209.png,4.2
21.png,4.2
210.png,4.2
211.png,"0.315,0.47"
212.png,4.2
213.png,4.2
214.png,4.2
215.png,4.2
216.png,4.2
217.png,4.2
218.png,4.2
219.png,4.2
22.png,4.2
220.png,4.2
221.png,4.2
222.png,4.2
223.png,4.2
224.png,4.2
225.png,4.2
226.png,4.2
227.png,4.2
228.png,4.2
229.png,0.65
23.png,4.2
230.png,4.2
231.png,4.2
232.png,0.65
233.png,4.2
234.png,4.2
235.png,4.2
236.png,4.2
237.png,4.2
238.png,4.2
239.png,4.2
24.png,4.2
240.png,4.2
241.png,4.2
242.png,4.2
243.png,0.315
244.png,4.2
245.png,4.2
246.png,4.2
247.png,4.2
248.png,4.2
249.png,4.2
25.png,4.2
250.png,4.2
251.png,4.2
252.png,4.2
253.png,4.2
254.png,4.2
255.png,4.2
256.png,4.2
257.png,4.2
258.png,4.2
259.png,4.2
26.png,4.2
260.png,4.2
261.png,4.2
262.png,4.2
263.png,4.2
264.png,4.2
265.png,4.2
266.png,4.2
267.png,"0.315,0.47"
268.png,4.2
269.png,4.2
27.png,4.2
270.png,4.2
271.png,0.315
272.png,4.2
273.png,4.2
274.png,4.2
275.png,4.2
276.png,4.2
277.png,4.2
278.png,4.2
279.png,4.2
28.png,4.2
280.png,4.2
281.png,4.2
282.png,4.2
283.png,4.2
284.png,4.2
285.png,4.2
286.png,4.2
287.png,4.2
288.png,4.2
289.png,0.315
29.png,"0.315,0.47"
290.png,4.2
291.png,"0.315,0.47"
292.png,4.2
293.png,4.2
294.png,4.2
295.png,4.2
296.png,4.2
297.png,4.2
298.png,4.2
299.png,4.2
3.png,4.2
30.png,4.2
300.png,4.2
301.png,0.65
302.png,4.2
303.png,4.2
304.png,4.2
305.png,4.2
306.png,4.2
307.png,4.2
308.png,4.2
309.png,4.2
31.png,4.2
310.png,4.2
311.png,4.2
312.png,4.2
313.png,0.65
314.png,4.2
315.png,4.2
316.png,0.65
317.png,4.2
318.png,4.2
319.png,4.2
32.png,4.2
320.png,4.2
321.png,4.2
322.png,4.2
323.png,4.2
324.png,4.2
325.png,4.2
326.png,4.2
327.png,4.2
328.png,4.2
329.png,4.2
33.png,4.2
330.png,4.2
331.png,4.2
332.png,4.2
333.png,4.2
334.png,4.2
335.png,4.2
336.png,4.2
337.png,4.2
338.png,4.2
339.png,4.2
34.png,"0.315,0.47"
340.png,4.2
341.png,4.2
342.png,4.2
343.png,4.2
344.png,4.2
345.png,4.2
346.png,4.2
347.png,4.2
348.png,4.2
349.png,4.2
35.png,4.2
350.png,4.2
351.png,4.2
352.png,4.2
353.png,4.2
354.png,0.47
355.png,4.2
356.png,4.2
357.png,4.2
358.png,4.2
359.png,4.2
36.png,4.2
360.png,4.2
361.png,4.2
362.png,4.2
363.png,4.2
364.png,4.2
365.png,4.2
366.png,4.2
367.png,4.2
368.png,4.2
369.png,0.315
37.png,4.2
370.png,4.2
371.png,4.2
372.png,4.2
373.png,4.2
374.png,4.2
375.png,4.2
376.png,4.2
377.png,4.2
378.png,4.2
379.png,0.65
38.png,4.2
380.png,4.2
381.png,4.2
382.png,4.2
383.png,4.2
384.png,4.2
385.png,4.2
386.png,4.2
387.png,4.2
388.png,4.2
389.png,4.2
39.png,4.2
390.png,4.2
391.png,4.2
392.png,4.2
393.png,0.65
394.png,0.65
395.png,4.2
396.png,4.2
397.png,4.2
398.png,4.2
399.png,4.2
4.png,4.2
40.png,4.2
400.png,4.2
401.png,4.2
402.png,4.2
403.png,4.2
404.png,4.2
405.png,0.65
406.png,4.2
407.png,4.2
408.png,4.2
409.png,4.2
41.png,4.2
410.png,4.2
411.png,4.2
412.png,"0.315,0.47"
413.png,4.2
414.png,4.2
415.png,4.2
416.png,4.2
417.png,4.2
418.png,0.65
419.png,4.2
42.png,4.2
420.png,4.2
421.png,4.2
422.png,4.2
423.png,4.2
424.png,4.2
425.png,4.2
426.png,4.2
427.png,4.2
428.png,4.2
429.png,4.2
43.png,4.2
430.png,4.2
431.png,4.2
432.png,4.2
433.png,4.2
434.png,4.2
435.png,0.65
436.png,4.2
437.png,4.2
438.png,4.2
439.png,4.2
44.png,4.2
440.png,4.2
441.png,4.2
442.png,4.2
443.png,4.2
444.png,4.2
445.png,4.2
446.png,0.65
447.png,4.2
448.png,4.2
449.png,4.2
45.png,4.2
450.png,4.2
451.png,4.2
452.png,4.2
453.png,4.2
454.png,4.2
455.png,4.2
456.png,4.2
457.png,4.2
458.png,4.2
