Filename,Predictions
1.png,1.99
10.png,1.99
100.png,0.1
101.png,1.99
102.png,1.99
103.png,0.1
104.png,1.99
105.png,1.99
106.png,1.99
107.png,1.99
108.png,1.99
109.png,1.99
11.png,1.99
110.png,1.99
111.png,1.99
112.png,1.99
113.png,1.99
114.png,1.99
115.png,1.99
116.png,1.99
117.png,1.99
118.png,1.99
119.png,1.99
12.png,1.99
120.png,1.99
121.png,1.99
122.png,1.99
123.png,1.99
124.png,0.1
125.png,1.99
126.png,1.99
127.png,1.99
128.png,1.99
129.png,1.99
13.png,1.99
130.png,1.99
131.png,1.99
132.png,1.99
133.png,1.99
134.png,1.99
135.png,1.99
136.png,1.99
137.png,1.99
138.png,1.99
139.png,1.99
14.png,0.1
140.png,1.99
141.png,1.99
142.png,1.99
143.png,1.99
144.png,1.99
145.png,1.99
146.png,1.99
147.png,1.99
148.png,1.99
149.png,1.99
15.png,1.99
150.png,1.99
151.png,1.99
152.png,1.99
153.png,1.99
154.png,1.99
155.png,1.99
156.png,1.99
157.png,1.99
158.png,1.99
159.png,1.99
16.png,1.99
160.png,1.99
161.png,1.99
162.png,1.99
163.png,1.99
164.png,1.99
165.png,1.99
166.png,1.99
167.png,1.99
168.png,1.99
169.png,1.99
17.png,1.99
170.png,1.99
171.png,1.99
172.png,1.99
173.png,1.99
174.png,1.99
175.png,1.99
176.png,1.99
177.png,1.99
178.png,1.99
179.png,1.99
18.png,1.99
180.png,1.99
181.png,1.99
182.png,1.99
183.png,1.99
184.png,1.99
185.png,1.99
186.png,1.99
187.png,1.99
188.png,0.1
189.png,1.99
19.png,1.99
190.png,1.99
191.png,1.99
192.png,1.99
193.png,1.99
194.png,1.99
195.png,1.99
196.png,1.99
197.png,1.99
198.png,0.1
199.png,1.99
2.png,1.99
20.png,1.99
200.png,1.99
201.png,1.99
202.png,1.99
203.png,1.99
204.png,1.99
205.png,1.99
206.png,1.99
207.png,1.99
208.png,1.99
209.png,1.99
21.png,1.99
210.png,1.99
211.png,0.088
212.png,1.99
213.png,1.99
214.png,1.99
215.png,1.99
216.png,1.99
217.png,1.99
218.png,1.99
219.png,1.99
22.png,1.99
220.png,1.99
221.png,1.99
222.png,1.99
223.png,1.99
224.png,1.99
225.png,1.99
226.png,1.99
227.png,1.99
228.png,1.99
229.png,0.1
23.png,1.99
230.png,1.99
231.png,1.99
232.png,0.1
233.png,1.99
234.png,1.99
235.png,1.99
236.png,1.99
237.png,1.99
238.png,1.99
239.png,1.99
24.png,1.99
240.png,1.99
241.png,1.99
242.png,1.99
243.png,0.062
244.png,1.99
245.png,1.99
246.png,1.99
247.png,1.99
248.png,1.99
249.png,1.99
25.png,1.99
250.png,1.99
251.png,1.99
252.png,1.99
253.png,1.99
254.png,1.99
255.png,1.99
256.png,1.99
257.png,1.99
258.png,1.99
259.png,1.99
26.png,1.99
260.png,1.99
261.png,1.99
262.png,1.99
263.png,1.99
264.png,1.99
265.png,1.99
266.png,1.99
267.png,0.088
268.png,1.99
269.png,1.99
27.png,1.99
270.png,1.99
271.png,0.062
272.png,1.99
273.png,1.99
274.png,1.99
275.png,1.99
276.png,1.99
277.png,1.99
278.png,1.99
279.png,1.99
28.png,1.99
280.png,1.99
281.png,1.99
282.png,1.99
283.png,1.99
284.png,1.99
285.png,1.99
286.png,1.99
287.png,1.99
288.png,1.99
289.png,0.062
29.png,0.088
290.png,1.99
291.png,0.088
292.png,1.99
293.png,1.99
294.png,1.99
295.png,1.99
296.png,1.99
297.png,1.99
298.png,1.99
299.png,1.99
3.png,1.99
30.png,1.99
300.png,1.99
301.png,0.1
302.png,1.99
303.png,1.99
304.png,1.99
305.png,1.99
306.png,1.99
307.png,1.99
308.png,1.99
309.png,1.99
31.png,1.99
310.png,1.99
311.png,1.99
312.png,1.99
313.png,0.1
314.png,1.99
315.png,1.99
316.png,0.1
317.png,1.99
318.png,1.99
319.png,1.99
32.png,1.99
320.png,1.99
321.png,1.99
322.png,1.99
323.png,1.99
324.png,1.99
325.png,1.99
326.png,1.99
327.png,1.99
328.png,1.99
329.png,1.99
33.png,1.99
330.png,1.99
331.png,1.99
332.png,1.99
333.png,1.99
334.png,1.99
335.png,1.99
336.png,1.99
337.png,1.99
338.png,1.99
339.png,1.99
34.png,0.088
340.png,1.99
341.png,1.99
342.png,1.99
343.png,1.99
344.png,1.99
345.png,1.99
346.png,1.99
347.png,1.99
348.png,1.99
349.png,1.99
35.png,1.99
350.png,1.99
351.png,1.99
352.png,1.99
353.png,1.99
354.png,0.088
355.png,1.99
356.png,1.99
357.png,1.99
358.png,1.99
359.png,1.99
36.png,1.99
360.png,1.99
361.png,1.99
362.png,1.99
363.png,1.99
364.png,1.99
365.png,1.99
366.png,1.99
367.png,1.99
368.png,1.99
369.png,0.062
37.png,1.99
370.png,1.99
371.png,1.99
372.png,1.99
373.png,1.99
374.png,1.99
375.png,1.99
376.png,1.99
377.png,1.99
378.png,1.99
379.png,0.1
38.png,1.99
380.png,1.99
381.png,1.99
382.png,1.99
383.png,1.99
384.png,1.99
385.png,1.99
386.png,1.99
387.png,1.99
388.png,1.99
389.png,1.99
39.png,1.99
390.png,1.99
391.png,1.99
392.png,1.99
393.png,0.1
394.png,0.1
395.png,1.99
396.png,1.99
397.png,1.99
398.png,1.99
399.png,1.99
4.png,1.99
40.png,1.99
400.png,1.99
401.png,1.99
402.png,1.99
403.png,1.99
404.png,1.99
405.png,0.1
406.png,1.99
407.png,1.99
408.png,1.99
409.png,1.99
41.png,1.99
410.png,1.99
411.png,1.99
412.png,0.088
413.png,1.99
414.png,1.99
415.png,1.99
416.png,1.99
417.png,1.99
418.png,0.1
419.png,1.99
42.png,1.99
420.png,1.99
421.png,1.99
422.png,1.99
423.png,1.99
